rushingId,playerId,yards,touchdowns,longest,yardsPerAtt,yardsPerGame
GiveCh00Rushing,GiveCh00,18,0,24,4.5,1.2
HarrAl00Rushing,HarrAl00,19,0,16,4.8,3.2
HillSh00Rushing,HillSh00,-5,0,-1,-1.3,-1.7
JohnAu00Rushing,JohnAu00,9,1,4,2.3,0.9
JohnWi00Rushing,JohnWi00,7,1,6,1.8,0.4
RomoTo00Rushing,RomoTo00,13,0,12,3.3,3.3
SchaMa00Rushing,SchaMa00,10,0,7,2.5,5
ThieAd00Rushing,ThieAd00,89,0,41,22.3,5.6
TodmJo00Rushing,TodmJo00,22,0,11,5.5,2
TukuWi00Rushing,TukuWi00,1,1,4,0.3,0.1
WinnGe00Rushing,WinnGe00,1,0,2,0.3,0.1
BrowAn04Rushing,BrowAn04,28,0,16,9.3,1.8
BrowJo02Rushing,BrowJo02,22,0,13,7.3,1.5
CoopAm00Rushing,CoopAm00,-3,0,2,-1,-0.2
DiggSt00Rushing,DiggSt00,13,0,10,4.3,1
DorsPh00Rushing,DorsPh00,17,0,11,5.7,1.5
EdelJu00Rushing,EdelJu00,23,0,12,7.7,2.6
MaclJe00Rushing,MaclJe00,14,0,18,4.7,0.9
McCoCo00Rushing,McCoCo00,-3,0,-1,-1,-3
MontTy01Rushing,MontTy01,14,0,9,4.7,2.3
MoorMa01Rushing,MoorMa01,-2,0,0,-0.7,-2
SandEm00Rushing,SandEm00,29,0,24,9.7,1.9
TolzSc00Rushing,TolzSc00,-3,0,0,-1,-1
AbduIs00Rushing,AbduIs00,34,0,30,17,2.1
AmenDa00Rushing,AmenDa00,11,0,8,5.5,0.8
BohaTo00Rushing,BohaTo00,2,0,2,1,0.1
CampMi02Rushing,CampMi02,17,1,9,8.5,4.3
CrowJa00Rushing,CrowJa00,2,0,2,1,0.1
DaniCh00Rushing,DaniCh00,-2,0,-1,-1,-1
HarrDw00Rushing,HarrDw00,12,0,11,6,0.8
JohnDa05Rushing,JohnDa05,4,0,2,2,0.3
JuszKy00Rushing,JuszKy00,3,0,2,1.5,0.2
